001  00414 |Loss: 38.671 | Acc: 52.729% 
001  00415 |Loss: 38.671 | Acc: 52.723% 
001  00416 |Loss: 38.670 | Acc: 52.740% 
001  00417 |Loss: 38.669 | Acc: 52.734% 
001  00418 |Loss: 38.669 | Acc: 52.727% 
001  00419 |Loss: 38.668 | Acc: 52.745% 
001  00420 |Loss: 38.666 | Acc: 52.833% 
001  00421 |Loss: 38.665 | Acc: 52.874% 
001  00422 |Loss: 38.664 | Acc: 52.891% 
001  00423 |Loss: 38.664 | Acc: 52.861% 
001  00424 |Loss: 38.663 | Acc: 52.842% 
001  00425 |Loss: 38.663 | Acc: 52.859% 
001  00426 |Loss: 38.662 | Acc: 52.840% 
001  00427 |Loss: 38.661 | Acc: 52.857% 
001  00428 |Loss: 38.660 | Acc: 52.862% 
001  00429 |Loss: 38.659 | Acc: 52.925% 
001  00430 |Loss: 38.658 | Acc: 52.942% 
001  00431 |Loss: 38.656 | Acc: 53.005% 
001  00432 |Loss: 38.655 | Acc: 53.044% 
001  00433 |Loss: 38.655 | Acc: 53.048% 
001  00434 |Loss: 38.654 | Acc: 53.065% 
001  00435 |Loss: 38.653 | Acc: 53.115% 
001  00436 |Loss: 38.652 | Acc: 53.142% 
001  00437 |Loss: 38.651 | Acc: 53.158% 
001  00438 |Loss: 38.650 | Acc: 53.185% 
001  00439 |Loss: 38.649 | Acc: 53.246% 
001  00440 |Loss: 38.648 | Acc: 53.307% 
001  00441 |Loss: 38.648 | Acc: 53.288% 
001  00442 |Loss: 38.647 | Acc: 53.337% 
001  00443 |Loss: 38.647 | Acc: 53.330% 
001  00444 |Loss: 38.646 | Acc: 53.356% 
001  00445 |Loss: 38.645 | Acc: 53.360% 
001  00446 |Loss: 38.645 | Acc: 53.352% 
001  00447 |Loss: 38.643 | Acc: 53.412% 
001  00448 |Loss: 38.642 | Acc: 53.438% 
001  00449 |Loss: 38.642 | Acc: 53.474% 
001  00450 |Loss: 38.641 | Acc: 53.522% 
001  00451 |Loss: 38.640 | Acc: 53.537% 
001  00452 |Loss: 38.639 | Acc: 53.540% 
001  00453 |Loss: 38.639 | Acc: 53.554% 
001  00454 |Loss: 38.638 | Acc: 53.568% 
001  00455 |Loss: 38.636 | Acc: 53.637% 
001  00456 |Loss: 38.636 | Acc: 53.640% 
001  00457 |Loss: 38.635 | Acc: 53.643% 
001  00458 |Loss: 38.635 | Acc: 53.657% 
001  00459 |Loss: 38.633 | Acc: 53.715% 
001  00460 |Loss: 38.633 | Acc: 53.728% 
001  00461 |Loss: 38.632 | Acc: 53.742% 
001  00462 |Loss: 38.631 | Acc: 53.777% 
001  00463 |Loss: 38.631 | Acc: 53.780% 
001  00464 |Loss: 38.630 | Acc: 53.804% 
001  00465 |Loss: 38.630 | Acc: 53.796% 
001  00466 |Loss: 38.631 | Acc: 53.766% 
001  00467 |Loss: 38.629 | Acc: 53.801% 
001  00468 |Loss: 38.628 | Acc: 53.857% 
001  00469 |Loss: 38.627 | Acc: 53.859% 
001  00470 |Loss: 38.627 | Acc: 53.851% 
001  00471 |Loss: 38.626 | Acc: 53.854% 
001  00472 |Loss: 38.626 | Acc: 53.856% 
001  00473 |Loss: 38.626 | Acc: 53.879% 
001  00474 |Loss: 38.626 | Acc: 53.882% 
001  00475 |Loss: 38.625 | Acc: 53.947% 
001  00476 |Loss: 38.624 | Acc: 53.950% 
001  00477 |Loss: 38.624 | Acc: 53.941% 
001  00478 |Loss: 38.623 | Acc: 53.975% 
001  00479 |Loss: 38.623 | Acc: 53.946% 
001  00480 |Loss: 38.621 | Acc: 54.021% 
001  00481 |Loss: 38.621 | Acc: 54.012% 
001  00482 |Loss: 38.620 | Acc: 54.015% 
001  00483 |Loss: 38.619 | Acc: 54.048% 
001  00484 |Loss: 38.618 | Acc: 54.070% 
